Team,No,Position,Player,Date_of_Birth,Age,Caps,Goals,Club
Czech Republic,,GK,Matěj Kovář,"May 17, 2000",26,19,0,PSV Eindhoven
Czech Republic,,GK,Jindřich Staněk,"April 27, 1996",30,14,0,Slavia Prague
Czech Republic,,GK,Lukáš Horníček,"July 13, 2002",23,1,0,Braga
Czech Republic,,DF,Vladimír Coufal,"August 22, 1992",33,61,2,TSG Hoffenheim
Czech Republic,,DF,Tomáš Holeš,"March 31, 1993",33,40,2,Slavia Prague
Czech Republic,,DF,Ladislav Krejčí (captain),"April 20, 1999",27,26,5,Wolverhampton Wanderers
Czech Republic,,DF,David Zima,"November 8, 2000",25,24,1,Slavia Prague
Czech Republic,,DF,Jaroslav Zelený,"August 20, 1992",33,22,0,Sparta Prague
Czech Republic,,DF,David Jurásek,"August 7, 2000",25,17,1,Slavia Prague
Czech Republic,,DF,David Douděra,"May 31, 1998",28,16,2,Slavia Prague
Czech Republic,,DF,Robin Hranáč,"January 29, 2000",26,13,1,TSG Hoffenheim
Czech Republic,,DF,Štěpán Chaloupek,"March 8, 2003",23,4,0,Slavia Prague
Czech Republic,,MF,Tomáš Souček,"February 27, 1995",31,89,17,West Ham United
Czech Republic,,MF,Vladimír Darida,"August 8, 1990",35,78,8,Hradec Králové
Czech Republic,,MF,Lukáš Provod,"October 23, 1996",29,37,3,Slavia Prague
Czech Republic,,MF,Michal Sadílek,"May 31, 1999",27,34,1,Slavia Prague
Czech Republic,,MF,Pavel Šulc,"December 29, 2000",25,20,5,Lyon
Czech Republic,,MF,Lukáš Červ,"April 10, 2001",25,16,2,Viktoria Plzeň
Czech Republic,,MF,Hugo Sochůrek,"June 7, 2008",18,1,0,Sparta Prague
Czech Republic,,MF,Alexandr Sojka,"April 2, 2003",23,1,0,Viktoria Plzeň
Czech Republic,,MF,Denis Višinský,"March 21, 2003",23,1,0,Viktoria Plzeň
Czech Republic,,FW,Patrik Schick,"January 24, 1996",30,52,25,Bayer Leverkusen
Czech Republic,,FW,Adam Hložek,"July 25, 2002",23,42,5,TSG Hoffenheim
Czech Republic,,FW,Jan Kuchta,"January 8, 1997",29,31,3,Sparta Prague
Czech Republic,,FW,Mojmír Chytil,"April 29, 1999",27,22,6,Slavia Prague
Czech Republic,,FW,Tomáš Chorý,"January 26, 1995",31,21,6,Slavia Prague
Mexico,,GK,Guillermo Ochoa,"July 13, 1985",40,152,0,AEL Limassol
Mexico,,GK,Raúl Rangel,"February 25, 2000",26,13,0,Guadalajara
Mexico,,GK,Carlos Acevedo,"April 19, 1996",30,7,0,Santos Laguna
Mexico,,DF,Jesús Gallardo,"August 15, 1994",31,120,3,Toluca
Mexico,,DF,César Montes,"February 24, 1997",29,66,4,Lokomotiv Moscow
Mexico,,DF,Jorge Sánchez,"December 10, 1997",28,58,3,PAOK
Mexico,,DF,Johan Vásquez,"October 22, 1998",27,45,2,Genoa
Mexico,,DF,Israel Reyes,"May 23, 2000",26,33,2,América
Mexico,,DF,Mateo Chávez,"May 11, 2004",22,9,0,AZ
Mexico,,MF,Edson Álvarez (captain),"October 24, 1997",28,97,7,Fenerbahçe
Mexico,,MF,Orbelín Pineda,"March 24, 1996",30,91,12,AEK Athens
Mexico,,MF,Roberto Alvarado,"September 7, 1998",27,66,5,Guadalajara
Mexico,,MF,Luis Romo,"June 5, 1995",31,62,4,Guadalajara
Mexico,,MF,Luis Chávez,"January 15, 1996",30,44,4,Dynamo Moscow
Mexico,,MF,Érik Lira,"May 8, 2000",26,24,0,Cruz Azul
Mexico,,MF,Gilberto Mora,"October 14, 2008",17,7,0,Tijuana
Mexico,,MF,Brian Gutiérrez,"June 17, 2003",22,6,2,Guadalajara
Mexico,,MF,Obed Vargas,"August 5, 2005",20,6,0,Atlético Madrid
Mexico,,MF,Álvaro Fidalgo,"April 9, 1997",29,3,0,Real Betis
Mexico,,FW,Raúl Jiménez,"May 5, 1991",35,123,44,Fulham
Mexico,,FW,Alexis Vega,"November 25, 1997",28,51,7,Toluca
Mexico,,FW,Santiago Giménez,"April 18, 2001",25,47,6,Milan
Mexico,,FW,César Huerta,"December 3, 2000",25,26,3,Anderlecht
Mexico,,FW,Julián Quiñones,"March 24, 1997",29,21,2,Al-Qadsiah
Mexico,,FW,Guillermo Martínez,"March 15, 1995",31,11,3,UNAM
Mexico,,FW,Armando González,"April 20, 2003",23,7,1,Guadalajara
South Africa,,GK,Ronwen Williams (captain),"January 21, 1992",34,62,0,Mamelodi Sundowns
South Africa,,GK,Ricardo Goss,"April 2, 1994",32,4,0,Siwelele
South Africa,,GK,Sipho Chaine,"December 14, 1996",29,3,0,Orlando Pirates
South Africa,,DF,Aubrey Modiba,"July 22, 1995",30,44,3,Mamelodi Sundowns
South Africa,,DF,Khuliso Mudau,"April 26, 1995",31,32,1,Mamelodi Sundowns
South Africa,,DF,Nkosinathi Sibisi,"September 22, 1995",30,19,0,Orlando Pirates
South Africa,,DF,Mbekezeli Mbokazi,"September 19, 2005",20,10,1,Chicago Fire FC
South Africa,,DF,Ime Okon,"February 20, 2004",22,7,1,Hannover 96
South Africa,,DF,Samukele Kabini,"March 15, 2004",22,5,0,Molde
South Africa,,DF,Khulumani Ndamane,"February 5, 2004",22,5,0,Mamelodi Sundowns
South Africa,,DF,Thabang Matuludi,"January 14, 1999",27,2,0,Polokwane City
South Africa,,DF,Kamogelo Sebelebele,"July 21, 2002",23,2,0,Orlando Pirates
South Africa,,DF,Bradley Cross,"January 30, 2001",25,0,0,Kaizer Chiefs
South Africa,,DF,Olwethu Makhanya,"April 30, 2004",22,0,0,Philadelphia Union
South Africa,,MF,Teboho Mokoena,"January 24, 1997",29,51,9,Mamelodi Sundowns
South Africa,,MF,Sphephelo Sithole,"March 3, 1999",27,27,1,Tondela
South Africa,,MF,Thalente Mbatha,"March 6, 2000",26,14,3,Orlando Pirates
South Africa,,MF,Jayden Adams,"May 5, 2001",25,4,0,Mamelodi Sundowns
South Africa,,FW,Themba Zwane,"August 3, 1989",36,53,12,Mamelodi Sundowns
South Africa,,FW,Lyle Foster,"May 9, 2000",26,26,10,Burnley
South Africa,,FW,Evidence Makgopa,"June 5, 2000",26,26,6,Orlando Pirates
South Africa,,FW,Oswin Appollis,"August 25, 2001",24,25,8,Orlando Pirates
South Africa,,FW,Iqraam Rayners,"December 19, 1995",30,13,4,Mamelodi Sundowns
South Africa,,FW,Relebohile Mofokeng,"October 23, 2004",21,12,0,Orlando Pirates
South Africa,,FW,Thapelo Maseko,"November 11, 2003",22,9,1,AEL Limassol
South Africa,,FW,Tshepang Moremi,"October 2, 2000",25,9,1,Orlando Pirates
South Korea,,GK,Kim Seung-gyu,"September 30, 1990",35,86,0,FC Tokyo
South Korea,,GK,Jo Hyeon-woo,"September 25, 1991",34,48,0,Ulsan HD
South Korea,,GK,Song Bum-keun,"October 15, 1997",28,2,0,Jeonbuk Hyundai Motors
South Korea,,DF,Kim Min-jae,"November 15, 1996",29,78,4,Bayern Munich
South Korea,,DF,Kim Moon-hwan,"August 1, 1995",30,35,0,Daejeon Hana Citizen
South Korea,,DF,Seol Young-woo,"December 5, 1998",27,33,0,Red Star Belgrade
South Korea,,DF,Lee Tae-seok,"July 28, 2002",23,14,1,Austria Wien
South Korea,,DF,Park Jin-seob,"October 23, 1995",30,13,1,Zhejiang
South Korea,,DF,Kim Tae-hyeon,"September 17, 2000",25,7,0,Kashima Antlers
South Korea,,DF,Lee Han-beom,"June 17, 2002",23,7,0,Midtjylland
South Korea,,DF,Jens Castrop,"July 29, 2003",22,6,0,Borussia Mönchengladbach
South Korea,,DF,Lee Ki-hyuk,"July 7, 2000",25,2,0,Gangwon FC
South Korea,,DF,Cho Wi-je,"August 25, 2001",24,0,0,Jeonbuk Hyundai Motors
South Korea,,MF,Lee Jae-sung,"August 10, 1992",33,104,15,Mainz 05
South Korea,,MF,Hwang Hee-chan,"January 26, 1996",30,78,17,Wolverhampton Wanderers
South Korea,,MF,Hwang In-beom,"September 20, 1996",29,72,6,Feyenoord
South Korea,,MF,Lee Kang-in,"February 19, 2001",25,46,11,Paris Saint-Germain
South Korea,,MF,Paik Seung-ho,"March 17, 1997",29,26,3,Birmingham City
South Korea,,MF,Kim Jin-gyu,"February 24, 1997",29,21,3,Jeonbuk Hyundai Motors
South Korea,,MF,Lee Dong-gyeong,"September 20, 1997",28,17,3,Ulsan HD
South Korea,,MF,Bae Jun-ho,"August 21, 2003",22,13,2,Stoke City
South Korea,,MF,Eom Ji-sung,"May 9, 2002",24,9,2,Swansea City
South Korea,,MF,Yang Hyun-jun,"May 25, 2002",24,8,0,Celtic
South Korea,,FW,Son Heung-min (captain),"July 8, 1992",33,143,56,Los Angeles FC
South Korea,,FW,Cho Gue-sung,"January 25, 1998",28,43,12,Midtjylland
South Korea,,FW,Oh Hyeon-gyu,"April 12, 2001",25,26,6,Beşiktaş
Bosnia and Herzegovina,,GK,Nikola Vasilj,"December 2, 1995",30,25,0,FC St. Pauli
Bosnia and Herzegovina,,GK,Martin Zlomislić,"August 16, 1998",27,3,0,Rijeka
Bosnia and Herzegovina,,GK,Osman Hadžikić,"March 12, 1996",30,0,0,Slaven Belupo
Bosnia and Herzegovina,,DF,Sead Kolašinac,"June 20, 1993",32,64,0,Atalanta
Bosnia and Herzegovina,,DF,Dennis Hadžikadunić,"July 9, 1998",27,31,0,Sampdoria
Bosnia and Herzegovina,,DF,Amar Dedić,"August 18, 2002",23,27,1,Benfica
Bosnia and Herzegovina,,DF,Nikola Katić,"October 10, 1996",29,16,1,Schalke 04
Bosnia and Herzegovina,,DF,Tarik Muharemović,"February 28, 2003",23,13,1,Sassuolo
Bosnia and Herzegovina,,DF,Nihad Mujakić,"April 15, 1998",28,11,1,Gaziantep
Bosnia and Herzegovina,,DF,Stjepan Radeljić,"September 5, 1997",28,5,0,Rijeka
Bosnia and Herzegovina,,DF,Nidal Čelik,"July 17, 2006",19,1,0,Lens
Bosnia and Herzegovina,,MF,Amir Hadžiahmetović,"March 8, 1997",29,35,0,Hull City
Bosnia and Herzegovina,,MF,Benjamin Tahirović,"March 3, 2003",23,27,2,Brøndby
Bosnia and Herzegovina,,MF,Armin Gigović,"April 6, 2002",24,19,1,Young Boys
Bosnia and Herzegovina,,MF,Dženis Burnić,"May 22, 1998",28,19,0,Karlsruher SC
Bosnia and Herzegovina,,MF,Ivan Bašić,"April 30, 2002",24,16,0,Astana
Bosnia and Herzegovina,,MF,Esmir Bajraktarević,"March 10, 2005",21,15,1,PSV Eindhoven
Bosnia and Herzegovina,,MF,Amar Memić,"January 20, 2001",25,12,1,Viktoria Plzeň
Bosnia and Herzegovina,,MF,Ivan Šunjić,"October 9, 1996",29,11,0,Pafos
Bosnia and Herzegovina,,MF,Kerim Alajbegović,"September 21, 2007",18,9,1,Red Bull Salzburg
Bosnia and Herzegovina,,MF,Ermin Mahmić,"March 14, 2005",21,1,0,Slovan Liberec
